contentType,content,title,visibility,id,tripId,stayId,user_id
tripInfo,"{""origin"": ""Charlotte"", ""oriCountry"": ""USA"", ""oriTravelCode"": ""CLT"", ""destination"": ""Frankfurt"", ""desCountry"": ""Germany"", ""desRegion"": ""Europe"", ""desTravelCode"": ""FRA"", ""transportation"": ""\u2708\ufe0f"", ""carrier"": ""American"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-14"", ""endDate"": ""2007-05-14"", ""title"": ""First International Travel!"", ""carrierIATA"": ""AA"", ""carrierICAO"": ""AAL""}",First International Travel!,public,3a2c1077-e888-403d-9161-dc3a1c4f8bb6,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,b7185ad7-e56c-4049-ad11-a557a159654c,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Frankfurt"", ""oriCountry"": ""Germany"", ""oriTravelCode"": ""FRA"", ""destination"": ""Mannheim"", ""desCountry"": ""Germany"", ""desRegion"": ""Europe"", ""desTravelCode"": ""MHG"", ""transportation"": ""\ud83d\ude97"", ""carrier"": """", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-15"", ""endDate"": ""2007-05-15"", ""title"": ""First International Travel!""}",First International Travel!,public,824cdaff-e552-4057-91f5-d9bb71ac9be0,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,372d5673-1b53-48f9-800a-dea3f140468c,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Mannheim"", ""oriCountry"": ""Germany"", ""oriTravelCode"": ""MHG"", ""destination"": ""Heidelberg"", ""desCountry"": ""Germany"", ""desRegion"": ""Europe"", ""desTravelCode"": ""HD"", ""transportation"": ""\ud83d\ude97"", ""carrier"": """", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-15"", ""endDate"": ""2007-05-15"", ""title"": ""First International Travel!""}",First International Travel!,public,15df141d-29f0-4e6e-9676-2fb0a0bf6b4c,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,c84f3f37-747a-447d-a6da-fc925107b288,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Heidelberg"", ""oriCountry"": ""Germany"", ""oriTravelCode"": ""HD"", ""destination"": ""Paris"", ""desCountry"": ""France"", ""desRegion"": ""Europe"", ""desTravelCode"": ""PAR"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""Deutsche Bahn"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-16"", ""endDate"": ""2007-05-20"", ""title"": ""First International Travel!"", ""carrierABBR"": ""DB"", ""link"": ""https://en.wikipedia.org/wiki/List_of_Deutsche_Bahn_station_codes""}",First International Travel!,public,527b47b2-3451-445e-86b5-60d6a4d5b91e,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,2d1516a3-4c18-436c-8a4f-8baa9f2f6cf7,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Paris"", ""oriCountry"": ""France"", ""oriTravelCode"": ""PAR"", ""destination"": ""Nice"", ""desCountry"": ""France"", ""desRegion"": ""Europe"", ""desTravelCode"": ""NCE"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""SNCF"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-20"", ""endDate"": ""2007-05-21"", ""title"": ""First International Travel!"", ""carrierIATA"": ""2C"", ""carrierABBR"": ""SNCF""}",First International Travel!,public,8cfbf8c7-25f0-46aa-96af-358a5cfa2f22,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,65c056d2-0b1b-4eea-aa75-2090a6aa0a79,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Nice"", ""oriCountry"": ""France"", ""oriTravelCode"": ""NCE"", ""destination"": ""Florence"", ""desCountry"": ""Italy"", ""desRegion"": ""Europe"", ""desTravelCode"": ""FLR"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""Trenitalia"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-22"", ""endDate"": ""2007-05-23"", ""title"": ""First International Travel!"", ""carrierIATA"": ""7T"", ""carrierABBR"": ""FS""}",First International Travel!,public,2fb9cbe0-58b5-4417-82a2-1a31b5aeb1e7,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,a1dd6ece-01ba-41e0-96cc-1acf9f029af8,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Florence"", ""oriCountry"": ""Italy"", ""oriTravelCode"": ""FLR"", ""destination"": ""Naples"", ""desCountry"": ""Italy"", ""desRegion"": ""Europe"", ""desTravelCode"": ""NAP"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""Trenitalia"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-24"", ""endDate"": ""2007-05-24"", ""title"": ""First International Travel!"", ""carrierIATA"": ""7T"", ""carrierABBR"": ""FS""}",First International Travel!,public,90cb09c7-5bbc-4966-9c12-3ee61be1316e,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,de5bf9ab-6efe-4d97-91ae-d976c54aaa4a,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Naples"", ""oriCountry"": ""Italy"", ""oriTravelCode"": ""NAP"", ""destination"": ""Pompeii"", ""desCountry"": ""Italy"", ""desRegion"": ""Europe"", ""desTravelCode"": ""POM"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""Trenitalia"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-25"", ""endDate"": ""2007-05-25"", ""title"": ""First International Travel!"", ""carrierIATA"": ""7T"", ""carrierABBR"": ""FS""}",First International Travel!,public,911a3207-4e28-40f7-951e-76dd4d1eb8e3,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,8f0395be-d55d-46cc-9ba6-7c2ac84cbd95,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Pompeii"", ""oriCountry"": ""Italy"", ""oriTravelCode"": ""POM"", ""destination"": ""Rome"", ""desCountry"": ""Italy"", ""desRegion"": ""Europe"", ""desTravelCode"": ""ROM"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""Trenitalia"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-25"", ""endDate"": ""2007-05-30"", ""title"": ""First International Travel!"", ""carrierIATA"": ""7T"", ""carrierABBR"": ""FS""}",First International Travel!,public,e4770135-0a39-46dd-b61c-7100e63a783f,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,6be48ec2-9224-4cde-b5ed-61938c42918a,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
tripInfo,"{""origin"": ""Rome"", ""oriCountry"": ""Italy"", ""oriTravelCode"": ""FCO"", ""destination"": ""Pisa"", ""desCountry"": ""Italy"", ""desRegion"": ""Europe"", ""desTravelCode"": ""PIS"", ""transportation"": ""\ud83d\ude82"", ""carrier"": ""Trenitalia"", ""description"": ""Germany, France, Italy"", ""startDate"": ""2007-05-26"", ""endDate"": ""2007-05-26"", ""title"": ""First International Travel!"", ""carrierIATA"": ""7T"", ""carrierABBR"": ""FS""}",First International Travel!,public,0f01b597-3b0e-4cbb-9d0e-fa9823a62319,93af4c0f-0b07-43c6-9205-c1bde6f4b6a5,f79746fb-9517-42f2-9c32-0390f9823716,39f9e257-ede3-4b3c-ba3b-b4004ecedf89
